Punkt_ID PCode X1[m] Y1[m] Z1[m] X2[m] Y2[m] Z2[m] dX[m] dY[m] dZ[m] dT[a] dX/T[cm] dY/T[cm] dZ/T[cm] dS_2D[m] dS_3D[m] dS_2D/T[cm] dS_3D/T[cm] Azimut[°] SurfAzimut[°] Slope[°] mX_1[cm] mY_1[cm] mZ_1[cm] mX_2[cm] mY_2[cm] mZ_2[cm] mP_1[cm] mP_2[cm] mS_2D[cm] mS_3D[cm] DelFlag
907 0 -991.251 2017.701 1968.796 -991.03 2017.851 1968.612 0.221 0.15 -0.184 5 4.4 3 -3.7 0.267 0.324 5.3 6.5 55.834 304.166 -34.5625 0 0 0 0 0 0 0 0 0 0 0
909 0 -1014.616 2016.244 1960.588 -1014.353 2016.371 1960.494 0.263 0.127 -0.094 5 5.3 2.5 -1.9 0.292 0.307 5.8 6.1 64.2246 295.7754 -17.841 0 0 0 0 0 0 0 0 0 0 0
910 255 -982.206 2016.002 1971.817 -981.966 2016.312 1971.887 0.24 0.31 0.07 5 4.8 6.2 1.4 0.392 0.398 7.8 8 37.7468 322.2532 10.1235 0 0 0 0 0 0 0 0 0 0 0
911 0 -1011.467 2010.983 1960.783 -1011.263 2011.173 1960.725 0.204 0.19 -0.058 5 4.1 3.8 -1.2 0.279 0.285 5.6 5.7 47.035 312.965 -11.7529 0 0 0 0 0 0 0 0 0 0 0
912 0 -1016.221 2010.592 1960.396 -1015.965 2010.817 1960.23 0.256 0.225 -0.166 5 5.1 4.5 -3.3 0.341 0.379 6.8 7.6 48.6876 311.3124 -25.9686 0 0 0 0 0 0 0 0 0 0 0
913 0 -995.247 2010.713 1963.806 -994.992 2010.917 1963.659 0.255 0.204 -0.147 5 5.1 4.1 -2.9 0.327 0.358 6.5 7.2 51.3402 308.6598 -24.2348 0 0 0 0 0 0 0 0 0 0 0
914 0 -1007.371 2007.735 1960.953 -1007.159 2007.927 1960.911 0.212 0.192 -0.042 5 4.2 3.8 -0.8 0.286 0.289 5.7 5.8 47.8341 312.1659 -8.3537 0 0 0 0 0 0 0 0 0 0 0
915 0 -1037.939 2007.807 1953.443 -1037.739 2007.909 1953.267 0.2 0.102 -0.176 5 4 2 -3.5 0.225 0.285 4.5 5.7 62.9784 297.0216 -38.0941 0 0 0 0 0 0 0 0 0 0 0
916 0 -1015.018 2006.644 1959.432 -1014.759 2006.842 1959.294 0.259 0.198 -0.138 5 5.2 4 -2.8 0.326 0.354 6.5 7.1 52.6029 307.3971 -22.9427 0 0 0 0 0 0 0 0 0 0 0
917 0 -1020.348 2005.501 1958.209 -1020.077 2005.757 1957.967 0.271 0.256 -0.242 5 5.4 5.1 -4.8 0.373 0.444 7.5 8.9 46.6304 313.3696 -32.9895 0 0 0 0 0 0 0 0 0 0 0
918 0 -1002.791 2004.663 1961.301 -1002.526 2004.84 1961.203 0.265 0.177 -0.098 5 5.3 3.5 -2 0.319 0.333 6.4 6.7 56.2601 303.7399 -17.0939 0 0 0 0 0 0 0 0 0 0 0
919 0 -1006.012 2004.934 1960.621 -1005.775 2005.09 1960.586 0.237 0.156 -0.035 5 4.7 3.1 -0.7 0.284 0.286 5.7 5.7 56.646 303.354 -7.0322 0 0 0 0 0 0 0 0 0 0 0
920 0 -1037.645 2003.538 1952.755 -1037.387 2003.63 1952.637 0.258 0.092 -0.118 5 5.2 1.8 -2.4 0.274 0.298 5.5 6 70.3743 289.6257 -23.3061 0 0 0 0 0 0 0 0 0 0 0
921 0 -992.453 2001.975 1962.555 -992.097 2002.127 1962.6 0.356 0.152 0.045 5 7.1 3 0.9 0.387 0.39 7.7 7.8 66.8792 293.1208 6.631 0 0 0 0 0 0 0 0 0 0 0
922 0 -1011.957 2001.508 1958.533 -1011.751 2001.655 1958.387 0.206 0.147 -0.146 5 4.1 2.9 -2.9 0.253 0.292 5.1 5.8 54.4886 305.5114 -29.9812 0 0 0 0 0 0 0 0 0 0 0
924 0 -1009.195 1999.982 1958.747 -1008.974 2000.161 1958.679 0.221 0.179 -0.068 5 4.4 3.6 -1.4 0.284 0.292 5.7 5.8 50.9941 309.0059 -13.4471 0 0 0 0 0 0 0 0 0 0 0
925 0 -998.423 1999.011 1961.176 -998.149 1999.239 1961.072 0.274 0.228 -0.104 5 5.5 4.6 -2.1 0.356 0.371 7.1 7.4 50.2356 309.7644 -16.2652 0 0 0 0 0 0 0 0 0 0 0
926 0 -1012.769 1998.497 1957.432 -1012.557 1998.67 1957.277 0.212 0.173 -0.155 5 4.2 3.5 -3.1 0.274 0.314 5.5 6.3 50.7843 309.2157 -29.5298 0 0 0 0 0 0 0 0 0 0 0
927 0 -1017.905 1997.237 1955.759 -1017.623 1997.472 1955.686 0.282 0.235 -0.073 5 5.6 4.7 -1.5 0.367 0.374 7.3 7.5 50.1944 309.8056 -11.2474 0 0 0 0 0 0 0 0 0 0 0
928 255 -984.006 1994.017 1961.763 -983.658 1994.068 1961.75 0.348 0.051 -0.013 5 7 1 -0.3 0.352 0.352 7 7 81.6626 278.3374 -2.1168 0 0 0 0 0 0 0 0 0 0 0
929 0 -1006.479 1994.523 1957.508 -1006.242 1994.739 1957.661 0.237 0.216 0.153 5 4.7 4.3 3.1 0.321 0.355 6.4 7.1 47.6542 312.3458 25.5075 0 0 0 0 0 0 0 0 0 0 0
930 0 -1020.888 1992.302 1953.802 -1020.582 1992.47 1953.949 0.306 0.168 0.147 5 6.1 3.4 2.9 0.349 0.379 7 7.6 61.2324 298.7676 22.836 0 0 0 0 0 0 0 0 0 0 0
932 255 -983.865 1990.689 1960.64 -983.515 1990.743 1960.663 0.35 0.054 0.023 5 7 1.1 0.5 0.354 0.355 7.1 7.1 81.2292 278.7708 3.7159 0 0 0 0 0 0 0 0 0 0 0
933 0 -1004.311 1989.418 1956.684 -1004.075 1989.608 1956.613 0.236 0.19 -0.071 5 4.7 3.8 -1.4 0.303 0.311 6.1 6.2 51.163 308.837 -13.1887 0 0 0 0 0 0 0 0 0 0 0
934 255 -983.359 1988.07 1959.636 -983.023 1988.154 1959.74 0.336 0.084 0.104 5 6.7 1.7 2.1 0.346 0.362 6.9 7.2 75.9638 284.0362 16.7141 0 0 0 0 0 0 0 0 0 0 0
935 255 -981.022 1987.226 1959.698 -980.755 1987.31 1959.749 0.267 0.084 0.051 5 5.3 1.7 1 0.28 0.285 5.6 5.7 72.5361 287.4639 10.3264 0 0 0 0 0 0 0 0 0 0 0
936 0 -1013.822 1987.053 1954.276 -1013.586 1987.167 1954.105 0.236 0.114 -0.171 5 4.7 2.3 -3.4 0.262 0.313 5.2 6.3 64.2171 295.7829 -33.1222 0 0 0 0 0 0 0 0 0 0 0
937 0 -1039.015 1984.425 1948.413 -1038.692 1984.512 1948.019 0.323 0.087 -0.394 5 6.5 1.7 -7.9 0.335 0.517 6.7 10.3 74.9252 285.0748 -49.6683 0 0 0 0 0 0 0 0 0 0 0
938 255 -984.784 1980.991 1956.657 -984.44 1981.042 1956.804 0.344 0.051 0.147 5 6.9 1 2.9 0.348 0.378 7 7.6 81.567 278.433 22.914 0 0 0 0 0 0 0 0 0 0 0
939 0 -1011.836 1980.818 1953.136 -1011.541 1980.963 1952.918 0.295 0.145 -0.218 5 5.9 2.9 -4.4 0.329 0.394 6.6 7.9 63.8247 296.1753 -33.5523 0 0 0 0 0 0 0 0 0 0 0
940 255 -962.083 2039.182 1987.981 -961.804 2039.311 1987.938 0.279 0.129 -0.043 5 5.6 2.6 -0.9 0.307 0.31 6.1 6.2 65.1858 294.8142 -7.9636 0 0 0 0 0 0 0 0 0 0 0
942 255 -935.727 2038.821 1979.778 -935.398 2039.106 1979.661 0.329 0.285 -0.117 5 6.6 5.7 -2.3 0.435 0.451 8.7 9 49.0989 310.9011 -15.0452 0 0 0 0 0 0 0 0 0 0 0
943 0 -977.712 2037.684 1983.855 -977.402 2037.784 1983.987 0.31 0.1 0.132 5 6.2 2 2.6 0.326 0.351 6.5 7 72.1213 287.8787 22.0599 0 0 0 0 0 0 0 0 0 0 0
944 255 -944.6 2037.371 1992.577 -944.135 2037.674 1992.673 0.465 0.303 0.096 5 9.3 6.1 1.9 0.555 0.563 11.1 11.3 56.9112 303.0888 9.8134 0 0 0 0 0 0 0 0 0 0 0
946 255 -930.55 2035.094 1973.038 -930.183 2035.251 1973.015 0.367 0.157 -0.023 5 7.3 3.1 -0.5 0.399 0.4 8 8 66.8391 293.1609 -3.2977 0 0 0 0 0 0 0 0 0 0 0
947 255 -970.59 2033.545 1984.136 -970.26 2033.626 1984.132 0.33 0.081 -0.004 5 6.6 1.6 -0.1 0.34 0.34 6.8 6.8 76.2091 283.7909 -0.6744 0 0 0 0 0 0 0 0 0 0 0
948 255 -936.6 2032.423 1986.093 -936.256 2032.528 1985.969 0.344 0.105 -0.124 5 6.9 2.1 -2.5 0.36 0.38 7.2 7.6 73.0261 286.9739 -19.0223 0 0 0 0 0 0 0 0 0 0 0
949 255 -926.35 2030.552 1967.414 -925.823 2030.676 1967.572 0.527 0.124 0.158 5 10.5 2.5 3.2 0.541 0.564 10.8 11.3 76.7595 283.2405 16.2694 0 0 0 0 0 0 0 0 0 0 0
953 255 -940.936 2028.084 1989.611 -940.638 2028.483 1989.748 0.298 0.399 0.137 5 6 8 2.7 0.498 0.517 10 10.3 36.7548 323.2452 15.3816 0 0 0 0 0 0 0 0 0 0 0
954 255 -923.034 2026.499 1963.465 -922.476 2026.539 1963.501 0.558 0.04 0.036 5 11.2 0.8 0.7 0.559 0.561 11.2 11.2 85.8998 274.1002 3.682 0 0 0 0 0 0 0 0 0 0 0
959 255 -957.324 2018.654 1982.348 -956.986 2018.883 1982.768 0.338 0.229 0.42 5 6.8 4.6 8.4 0.408 0.586 8.2 11.7 55.8818 304.1182 45.8113 0 0 0 0 0 0 0 0 0 0 0
963 255 -949.493 2018.006 1984.817 -949.019 2018.114 1985.015 0.474 0.108 0.198 5 9.5 2.2 4 0.486 0.525 9.7 10.5 77.1644 282.8356 22.1602 0 0 0 0 0 0 0 0 0 0 0
966 255 -929.801 2014.704 1972.953 -929.538 2014.994 1973.294 0.263 0.29 0.341 5 5.3 5.8 6.8 0.391 0.519 7.8 10.4 42.2048 317.7952 41.0565 0 0 0 0 0 0 0 0 0 0 0
967 255 -936.873 2013.357 1976.088 -936.477 2013.649 1976.741 0.396 0.292 0.653 5 7.9 5.8 13.1 0.492 0.818 9.8 16.4 53.5959 306.4041 53.0031 0 0 0 0 0 0 0 0 0 0 0
968 255 -921.116 2012.284 1961.235 -920.915 2012.471 1961.407 0.201 0.187 0.172 5 4 3.7 3.4 0.275 0.324 5.5 6.5 47.0665 312.9335 32.0676 0 0 0 0 0 0 0 0 0 0 0
970 255 -952.764 2011.483 1978.595 -952.354 2011.642 1978.783 0.41 0.159 0.188 5 8.2 3.2 3.8 0.44 0.478 8.8 9.6 68.8035 291.1965 23.1474 0 0 0 0 0 0 0 0 0 0 0
971 255 -933.121 2010.361 1969.411 -932.738 2010.776 1970.055 0.383 0.415 0.644 5 7.7 8.3 12.9 0.565 0.857 11.3 17.1 42.7037 317.2963 48.7524 0 0 0 0 0 0 0 0 0 0 0
973 255 -971.382 2009.564 1971.998 -971.065 2009.703 1972.147 0.317 0.139 0.149 5 6.3 2.8 3 0.346 0.377 6.9 7.5 66.3232 293.6768 23.2903 0 0 0 0 0 0 0 0 0 0 0
975 255 -980.451 2009.314 1968.757 -980.182 2009.596 1968.948 0.269 0.282 0.191 5 5.4 5.6 3.8 0.39 0.434 7.8 8.7 43.6484 316.3516 26.109 0 0 0 0 0 0 0 0 0 0 0
976 255 -968.412 2009.442 1972.659 -968.125 2009.64 1972.953 0.287 0.198 0.294 5 5.7 4 5.9 0.349 0.456 7 9.1 55.3984 304.6016 40.1375 0 0 0 0 0 0 0 0 0 0 0
977 255 -924.109 2008.656 1962.781 -923.883 2008.984 1962.79 0.226 0.328 0.009 5 4.5 6.6 0.2 0.398 0.398 8 8 34.5678 325.4322 1.2944 0 0 0 0 0 0 0 0 0 0 0
978 255 -976.034 2008.183 1969.803 -975.713 2008.296 1970.006 0.321 0.113 0.203 5 6.4 2.3 4.1 0.34 0.396 6.8 7.9 70.6067 289.3933 30.8168 0 0 0 0 0 0 0 0 0 0 0
980 255 -935.546 2007.896 1971.211 -935.125 2008.239 1971.942 0.421 0.343 0.731 5 8.4 6.9 14.6 0.543 0.911 10.9 18.2 50.8294 309.1706 53.3925 0 0 0 0 0 0 0 0 0 0 0
981 255 -949.841 2006.885 1972.763 -949.302 2007.011 1972.93 0.539 0.126 0.167 5 10.8 2.5 3.3 0.554 0.578 11.1 11.6 76.8425 283.1575 16.7885 0 0 0 0 0 0 0 0 0 0 0
982 255 -940.201 2005.957 1969.165 -939.886 2006.296 1970.168 0.315 0.339 1.003 5 6.3 6.8 20.1 0.463 1.105 9.3 22.1 42.8983 317.1017 65.2326 0 0 0 0 0 0 0 0 0 0 0
983 255 -931.746 2006.473 1965.891 -931.451 2006.875 1966.645 0.295 0.402 0.754 5 5.9 8 15.1 0.499 0.904 10 18.1 36.2724 323.7276 56.523 0 0 0 0 0 0 0 0 0 0 0
984 255 -977.472 2004.244 1967.43 -977.091 2004.319 1967.686 0.381 0.075 0.256 5 7.6 1.5 5.1 0.388 0.465 7.8 9.3 78.8637 281.1363 33.3954 0 0 0 0 0 0 0 0 0 0 0
992 255 -959.526 1998.359 1966.79 -959.269 1998.471 1966.91 0.257 0.112 0.12 5 5.1 2.2 2.4 0.28 0.305 5.6 6.1 66.4525 293.5475 23.1731 0 0 0 0 0 0 0 0 0 0 0
995 255 -932.588 1996.876 1958.235 -932.37 1997.423 1958.89 0.218 0.547 0.655 5 4.4 10.9 13.1 0.589 0.881 11.8 17.6 21.7291 338.2709 48.0447 0 0 0 0 0 0 0 0 0 0 0
996 255 -969.054 1994.903 1966.48 -968.748 1995.1 1966.462 0.306 0.197 -0.018 5 6.1 3.9 -0.4 0.364 0.364 7.3 7.3 57.2269 302.7731 -2.8315 0 0 0 0 0 0 0 0 0 0 0
997 255 -954.248 1996.043 1964.516 -953.997 1996.177 1964.552 0.251 0.134 0.036 5 5 2.7 0.7 0.285 0.287 5.7 5.7 61.9038 298.0962 7.211 0 0 0 0 0 0 0 0 0 0 0
998 255 -925.171 1994.627 1956.65 -925.062 1994.976 1956.021 0.109 0.349 -0.629 5 2.2 7 -12.6 0.366 0.728 7.3 14.6 17.3447 342.6553 -59.8314 0 0 0 0 0 0 0 0 0 0 0
999 255 -973.816 1993.975 1964.682 -973.496 1994.158 1964.614 0.32 0.183 -0.068 5 6.4 3.7 -1.4 0.369 0.375 7.4 7.5 60.2358 299.7642 -10.4516 0 0 0 0 0 0 0 0 0 0 0
1003 255 -979.643 1991.469 1961.667 -979.32 1991.493 1961.684 0.323 0.024 0.017 5 6.5 0.5 0.3 0.324 0.324 6.5 6.5 85.7505 274.2495 3.0045 0 0 0 0 0 0 0 0 0 0 0
1007 255 -931.662 1988.701 1953.002 -931.515 1989.222 1953.536 0.147 0.521 0.534 5 2.9 10.4 10.7 0.541 0.76 10.8 15.2 15.7564 344.2436 44.6089 0 0 0 0 0 0 0 0 0 0 0
1008 255 -939.947 1986.035 1952.076 -939.74 1986.559 1952.753 0.207 0.524 0.677 5 4.1 10.5 13.5 0.563 0.881 11.3 17.6 21.5559 338.4441 50.2325 0 0 0 0 0 0 0 0 0 0 0
1009 255 -976.811 1984.434 1959.873 -976.553 1984.515 1959.949 0.258 0.081 0.076 5 5.2 1.6 1.5 0.27 0.281 5.4 5.6 72.5701 287.4299 15.6979 0 0 0 0 0 0 0 0 0 0 0
1010 255 -966.958 1984.533 1960.958 -966.644 1984.564 1961.199 0.314 0.031 0.241 5 6.3 0.6 4.8 0.316 0.397 6.3 7.9 84.3617 275.6383 37.3727 0 0 0 0 0 0 0 0 0 0 0
1011 255 -949.077 1983.835 1954.268 -948.831 1984.073 1954.491 0.246 0.238 0.223 5 4.9 4.8 4.5 0.342 0.409 6.8 8.2 45.947 314.053 33.0843 0 0 0 0 0 0 0 0 0 0 0
1012 255 -925.976 1984.794 1950.286 -925.932 1985.31 1950.901 0.044 0.516 0.615 5 0.9 10.3 12.3 0.518 0.804 10.4 16.1 4.8739 355.1261 49.9003 0 0 0 0 0 0 0 0 0 0 0
1013 255 -932.686 1981.872 1947.006 -932.477 1982.319 1947.855 0.209 0.447 0.849 5 4.2 8.9 17 0.493 0.982 9.9 19.6 25.059 334.941 59.8344 0 0 0 0 0 0 0 0 0 0 0
1015 255 -951.981 1981.155 1953.24 -951.748 1981.366 1953.549 0.233 0.211 0.309 5 4.7 4.2 6.2 0.314 0.441 6.3 8.8 47.8367 312.1633 44.5091 0 0 0 0 0 0 0 0 0 0 0
1016 255 -924.787 1980.119 1944.763 -924.657 1980.545 1944.889 0.13 0.426 0.126 5 2.6 8.5 2.5 0.445 0.463 8.9 9.3 16.9703 343.0297 15.796 0 0 0 0 0 0 0 0 0 0 0
1025 255 -913.77 2028.653 1956.968 -913.48 2028.664 1957.022 0.29 0.011 0.054 5 5.8 0.2 1.1 0.29 0.295 5.8 5.9 87.8278 272.1722 10.5407 0 0 0 0 0 0 0 0 0 0 0
1031 255 -891.5 2024.975 1947.578 -891.244 2025.465 1947.914 0.256 0.49 0.336 5 5.1 9.8 6.7 0.553 0.647 11.1 12.9 27.5848 332.4152 31.2898 0 0 0 0 0 0 0 0 0 0 0
1033 255 -919.756 2023.129 1958.089 -919.158 2023.287 1958.821 0.598 0.158 0.732 5 12 3.2 14.6 0.619 0.958 12.4 19.2 75.1999 284.8001 49.8031 0 0 0 0 0 0 0 0 0 0 0
1034 255 -915.653 2021.196 1954.408 -915.278 2020.88 1953.686 0.375 -0.316 -0.722 5 7.5 -6.3 -14.4 0.49 0.873 9.8 17.5 130.1197 229.8803 -55.8153 0 0 0 0 0 0 0 0 0 0 0
1035 255 -887.151 2021.267 1942.777 -886.798 2021.454 1943.007 0.353 0.187 0.23 5 7.1 3.7 4.6 0.399 0.461 8 9.2 62.0878 297.9122 29.9316 0 0 0 0 0 0 0 0 0 0 0
1038 255 -864.482 2017.573 1933.409 -864.288 2018.045 1933.886 0.194 0.472 0.477 5 3.9 9.4 9.5 0.51 0.699 10.2 14 22.3435 337.6565 43.0675 0 0 0 0 0 0 0 0 0 0 0
1040 255 -912.7 2016.172 1949.535 -912.2 2015.718 1949.251 0.5 -0.454 -0.284 5 10 -9.1 -5.7 0.675 0.733 13.5 14.7 132.2394 227.7606 -22.8074 0 0 0 0 0 0 0 0 0 0 0
1042 255 -901.546 2013.214 1941.374 -900.904 2012.926 1941.469 0.642 -0.288 0.095 5 12.8 -5.8 1.9 0.704 0.71 14.1 14.2 114.1609 245.8391 7.6891 0 0 0 0 0 0 0 0 0 0 0
1045 255 -871.854 2010.417 1929.604 -871.816 2011.07 1931.379 0.038 0.653 1.775 5 0.8 13.1 35.5 0.654 1.892 13.1 37.8 3.3305 356.6695 69.7707 0 0 0 0 0 0 0 0 0 0 0
1048 255 -899.944 2008.34 1937.177 -899.243 2008.01 1937.149 0.701 -0.33 -0.028 5 14 -6.6 -0.6 0.775 0.775 15.5 15.5 115.209 244.791 -2.0697 0 0 0 0 0 0 0 0 0 0 0
1051 255 -871.896 2005.25 1926.707 -871.614 2005.133 1927.62 0.282 -0.117 0.913 5 5.6 -2.3 18.3 0.305 0.963 6.1 19.3 112.5333 247.4667 71.51 0 0 0 0 0 0 0 0 0 0 0
1053 255 -894.422 2003.463 1932.553 -893.696 2003.078 1932.729 0.726 -0.385 0.176 5 14.5 -7.7 3.5 0.822 0.84 16.4 16.8 117.9371 242.0629 12.0886 0 0 0 0 0 0 0 0 0 0 0
1054 255 -884.834 2003.426 1930.092 -884.308 2003.228 1929.673 0.526 -0.198 -0.419 5 10.5 -4 -8.4 0.562 0.701 11.2 14 110.6276 249.3724 -36.7049 0 0 0 0 0 0 0 0 0 0 0
1055 255 -869.247 2001.545 1924.135 -869.098 2002.126 1925.342 0.149 0.581 1.207 5 3 11.6 24.1 0.6 1.348 12 27 14.3838 345.6162 63.5756 0 0 0 0 0 0 0 0 0 0 0
1056 255 -878.263 2000.213 1925.782 -877.812 2000.064 1925.927 0.451 -0.149 0.145 5 9 -3 2.9 0.475 0.497 9.5 9.9 108.2824 251.7176 16.9763 0 0 0 0 0 0 0 0 0 0 0
1060 255 -865.336 1994.412 1920.133 -864.881 1994.148 1920.498 0.455 -0.264 0.365 5 9.1 -5.3 7.3 0.526 0.64 10.5 12.8 120.1232 239.8768 34.7552 0 0 0 0 0 0 0 0 0 0 0
1064 255 -885.915 1992.905 1923.11 -885.307 1992.625 1922.922 0.608 -0.28 -0.188 5 12.2 -5.6 -3.8 0.669 0.695 13.4 13.9 114.7273 245.2727 -15.6879 0 0 0 0 0 0 0 0 0 0 0
1065 255 -860.448 1993.955 1919.537 -859.932 1993.613 1919.957 0.516 -0.342 0.42 5 10.3 -6.8 8.4 0.619 0.748 12.4 15 123.536 236.464 34.1554 0 0 0 0 0 0 0 0 0 0 0
1066 255 -875.588 1991.577 1920.094 -875.019 1991.045 1919.782 0.569 -0.532 -0.312 5 11.4 -10.6 -6.2 0.779 0.839 15.6 16.8 133.0753 226.9247 -21.8277 0 0 0 0 0 0 0 0 0 0 0
1067 255 -916.341 1990.415 1943.069 -916.143 1990.629 1941.884 0.198 0.214 -1.185 5 4 4.3 -23.7 0.292 1.22 5.8 24.4 42.776 317.224 -76.1779 0 0 0 0 0 0 0 0 0 0 0
1068 255 -861.151 1990.616 1918.019 -860.603 1990.174 1917.843 0.548 -0.442 -0.176 5 11 -8.8 -3.5 0.704 0.726 14.1 14.5 128.8886 231.1114 -14.0355 0 0 0 0 0 0 0 0 0 0 0
1070 255 -879.772 1988.09 1918.638 -879.177 1987.842 1918.187 0.595 -0.248 -0.451 5 11.9 -5 -9 0.645 0.787 12.9 15.7 112.6267 247.3733 -34.9783 0 0 0 0 0 0 0 0 0 0 0
1072 255 -887.324 1987.462 1921.148 -886.559 1986.847 1920.618 0.765 -0.615 -0.53 5 15.3 -12.3 -10.6 0.982 1.116 19.6 22.3 128.7966 231.2034 -28.3673 0 0 0 0 0 0 0 0 0 0 0
1073 255 -864.38 1985.056 1916.315 -863.946 1984.785 1916.288 0.434 -0.271 -0.027 5 8.7 -5.4 -0.5 0.512 0.512 10.2 10.2 121.9816 238.0184 -3.0207 0 0 0 0 0 0 0 0 0 0 0
1078 255 -876.721 1980.708 1914.629 -876.204 1980.702 1914.91 0.517 -0.006 0.281 5 10.3 -0.1 5.6 0.517 0.588 10.3 11.8 90.6649 269.3351 28.5234 0 0 0 0 0 0 0 0 0 0 0
1079 255 -813.664 2039.872 1931.268 -813.544 2040.299 1930.684 0.12 0.427 -0.584 5 2.4 8.5 -11.7 0.444 0.733 8.9 14.7 15.697 344.303 -52.7837 0 0 0 0 0 0 0 0 0 0 0
1080 255 -853.408 2040.084 1950.004 -853.135 2040.335 1949.341 0.273 0.251 -0.663 5 5.5 5 -13.3 0.371 0.76 7.4 15.2 47.4041 312.5959 -60.7794 0 0 0 0 0 0 0 0 0 0 0
1082 255 -833.164 2037.101 1933.402 -832.962 2037.224 1934.387 0.202 0.123 0.985 5 4 2.5 19.7 0.237 1.013 4.7 20.3 58.6623 301.3377 76.4987 0 0 0 0 0 0 0 0 0 0 0
1083 255 -813.667 2035.77 1927.275 -813.562 2035.89 1926.481 0.105 0.12 -0.794 5 2.1 2.4 -15.9 0.159 0.81 3.2 16.2 41.1859 318.8141 -78.6448 0 0 0 0 0 0 0 0 0 0 0
1084 255 -852.619 2033.852 1948.113 -852.313 2033.834 1947.82 0.306 -0.018 -0.293 5 6.1 -0.4 -5.9 0.307 0.424 6.1 8.5 93.3665 266.6335 -43.7073 0 0 0 0 0 0 0 0 0 0 0
1086 255 -858.542 2031.378 1951.698 -858.33 2031.733 1951.148 0.212 0.355 -0.55 5 4.2 7.1 -11 0.413 0.688 8.3 13.8 30.8449 329.1551 -53.0646 0 0 0 0 0 0 0 0 0 0 0
1088 255 -804.931 2030.619 1920.538 -804.667 2030.74 1920.347 0.264 0.121 -0.191 5 5.3 2.4 -3.8 0.29 0.348 5.8 7 65.3764 294.6236 -33.3327 0 0 0 0 0 0 0 0 0 0 0
1089 255 -858.198 2026.993 1948.278 -858.14 2027.331 1948.531 0.058 0.338 0.253 5 1.2 6.8 5.1 0.343 0.426 6.9 8.5 9.737 350.263 36.4176 0 0 0 0 0 0 0 0 0 0 0
1090 255 -845.618 2026.673 1943.423 -845.638 2026.817 1941.899 -0.02 0.144 -1.524 5 -0.4 2.9 -30.5 0.145 1.531 2.9 30.6 352.0928 7.9072 -84.5507 0 0 0 0 0 0 0 0 0 0 0
1091 255 -833.457 2026.984 1934.109 -833.297 2027.24 1933.417 0.16 0.256 -0.692 5 3.2 5.1 -13.8 0.302 0.755 6 15.1 32.0054 327.9946 -66.4306 0 0 0 0 0 0 0 0 0 0 0
1092 255 -841.176 2026.765 1938.998 -841.031 2026.986 1938.948 0.145 0.221 -0.05 5 2.9 4.4 -1 0.264 0.269 5.3 5.4 33.2692 326.7308 -10.7117 0 0 0 0 0 0 0 0 0 0 0
1093 255 -828.732 2024.673 1928.302 -828.414 2024.847 1928.357 0.318 0.174 0.055 5 6.4 3.5 1.1 0.362 0.367 7.2 7.3 61.3139 298.6861 8.6276 0 0 0 0 0 0 0 0 0 0 0
1094 255 -824.877 2024.788 1925.342 -824.465 2024.97 1925.534 0.412 0.182 0.192 5 8.2 3.6 3.8 0.45 0.49 9 9.8 66.1667 293.8333 23.0876 0 0 0 0 0 0 0 0 0 0 0
1095 255 -799.521 2024.995 1913.926 -799.295 2025.341 1914.694 0.226 0.346 0.768 5 4.5 6.9 15.4 0.413 0.872 8.3 17.4 33.1517 326.8483 61.7148 0 0 0 0 0 0 0 0 0 0 0
1096 255 -843.156 2023.398 1937.985 -843.029 2023.697 1937.192 0.127 0.299 -0.793 5 2.5 6 -15.9 0.325 0.857 6.5 17.1 23.0133 336.9867 -67.7235 0 0 0 0 0 0 0 0 0 0 0
1097 255 -810.461 2022.842 1917.475 -810.084 2022.781 1917.544 0.377 -0.061 0.069 5 7.5 -1.2 1.4 0.382 0.388 7.6 7.8 99.191 260.809 10.2414 0 0 0 0 0 0 0 0 0 0 0
1098 255 -850.78 2021.524 1942.122 -850.598 2021.818 1942.183 0.182 0.294 0.061 5 3.6 5.9 1.2 0.346 0.351 6.9 7 31.7595 328.2405 10.0049 0 0 0 0 0 0 0 0 0 0 0
1099 255 -856.46 2022.26 1943.551 -856.398 2022.488 1943.344 0.062 0.228 -0.207 5 1.2 4.6 -4.1 0.236 0.314 4.7 6.3 15.2126 344.7874 -41.221 0 0 0 0 0 0 0 0 0 0 0
1100 255 -847.921 2022.126 1940.575 -847.779 2022.45 1939.796 0.142 0.324 -0.779 5 2.8 6.5 -15.6 0.354 0.856 7.1 17.1 23.6665 336.3335 -65.5767 0 0 0 0 0 0 0 0 0 0 0
1101 255 -807.824 2021.802 1915.973 -807.462 2021.761 1916.143 0.362 -0.041 0.17 5 7.2 -0.8 3.4 0.364 0.402 7.3 8 96.4618 263.5382 25.0152 0 0 0 0 0 0 0 0 0 0 0
1102 255 -803.079 2022.047 1914.088 -802.892 2022.231 1913.893 0.187 0.184 -0.195 5 3.7 3.7 -3.9 0.262 0.327 5.2 6.5 45.4633 314.5367 -36.6233 0 0 0 0 0 0 0 0 0 0 0
1103 255 -834.861 2021.987 1931.048 -834.723 2022.212 1930.881 0.138 0.225 -0.167 5 2.8 4.5 -3.3 0.264 0.312 5.3 6.2 31.5222 328.4778 -32.3215 0 0 0 0 0 0 0 0 0 0 0
