Punkt_ID PCode X1[m] Y1[m] Z1[m] X2[m] Y2[m] Z2[m] dX[m] dY[m] dZ[m] dT[a] dX/T[cm] dY/T[cm] dZ/T[cm] dS_2D[m] dS_3D[m] dS_2D/T[cm] dS_3D/T[cm] Azimut[°] SurfAzimut[°] Slope[°] mX_1[cm] mY_1[cm] mZ_1[cm] mX_2[cm] mY_2[cm] mZ_2[cm] mP_1[cm] mP_2[cm] mS_2D[cm] mS_3D[cm] DelFlag
563 0 -463.827 2047.18 1781.323 -463.979 2047.252 1781.25 -0.152 0.072 -0.073 5 -3 1.4 -1.5 0.168 0.183 3.4 3.7 295.3462 64.6538 -23.4624 0 0 0 0 0 0 0 0 0 0 0
565 0 -495.723 2045.551 1785.29 -496.207 2046.474 1784.271 -0.484 0.923 -1.019 5 -9.7 18.5 -20.4 1.042 1.458 20.8 29.2 332.3285 27.6715 -44.3551 0 0 0 0 0 0 0 0 0 0 0
568 0 -483.404 2041.856 1777.062 -483.036 2042.859 1781.844 0.368 1.003 4.782 5 7.4 20.1 95.6 1.068 4.9 21.4 98 20.1481 339.8519 77.406 0 0 0 0 0 0 0 0 0 0 0
569 0 -467.566 2041.564 1775.036 -467.093 2042.192 1780.467 0.473 0.628 5.431 5 9.5 12.6 108.6 0.786 5.488 15.7 109.8 36.9865 323.0135 81.763 0 0 0 0 0 0 0 0 0 0 0
570 0 -441.906 2040.207 1770.043 -441.897 2040.367 1770.132 0.009 0.16 0.089 5 0.2 3.2 1.8 0.16 0.183 3.2 3.7 3.2195 356.7805 29.0466 0 0 0 0 0 0 0 0 0 0 0
596 0 -385.59 2073.272 1774.026 -384.726 2074.043 1785.075 0.864 0.771 11.049 5 17.3 15.4 221 1.158 11.11 23.2 222.2 48.2555 311.7445 84.017 0 0 0 0 0 0 0 0 0 0 0
597 0 -392.242 2072.26 1775.435 -392.353 2072.68 1778.168 -0.111 0.42 2.733 5 -2.2 8.4 54.7 0.434 2.767 8.7 55.3 345.196 14.804 80.9682 0 0 0 0 0 0 0 0 0 0 0
601 0 -427.755 2070.348 1787.325 -427.624 2070.958 1789.736 0.131 0.61 2.411 5 2.6 12.2 48.2 0.624 2.49 12.5 49.8 12.1204 347.8796 75.4915 0 0 0 0 0 0 0 0 0 0 0
603 0 -403.452 2069.226 1776.645 -403.657 2069.359 1775.051 -0.205 0.133 -1.594 5 -4.1 2.7 -31.9 0.244 1.613 4.9 32.3 302.9747 57.0253 -81.2843 0 0 0 0 0 0 0 0 0 0 0
605 0 -409.277 2067.885 1776.908 -409.175 2067.973 1776.201 0.102 0.088 -0.707 5 2 1.8 -14.1 0.135 0.72 2.7 14.4 49.2142 310.7858 -79.212 0 0 0 0 0 0 0 0 0 0 0
606 0 -394.867 2067.969 1771.82 -395.088 2068.851 1774.113 -0.221 0.882 2.293 5 -4.4 17.6 45.9 0.909 2.467 18.2 49.3 345.9332 14.0668 68.3697 0 0 0 0 0 0 0 0 0 0 0
607 0 -430.057 2067.215 1786.225 -429.834 2068.047 1789.458 0.223 0.832 3.233 5 4.5 16.6 64.7 0.861 3.346 17.2 66.9 15.0043 344.9957 75.0813 0 0 0 0 0 0 0 0 0 0 0
609 0 -422.263 2065.362 1781.29 -422.025 2065.681 1783.357 0.238 0.319 2.067 5 4.8 6.4 41.3 0.398 2.105 8 42.1 36.7259 323.2741 79.1011 0 0 0 0 0 0 0 0 0 0 0
610 0 -415.948 2064.666 1775.717 -415.847 2064.942 1777 0.101 0.276 1.283 5 2 5.5 25.7 0.294 1.316 5.9 26.3 20.0997 339.9003 77.0977 0 0 0 0 0 0 0 0 0 0 0
611 0 -437.943 2061.344 1781.02 -438.041 2062.783 1783.437 -0.098 1.439 2.417 5 -2 28.8 48.3 1.442 2.815 28.8 56.3 356.104 3.896 59.1736 0 0 0 0 0 0 0 0 0 0 0
612 0 -432.958 2060.634 1784.725 -433.119 2061.43 1784.647 -0.161 0.796 -0.078 5 -3.2 15.9 -1.6 0.812 0.816 16.2 16.3 348.5655 11.4345 -5.4861 0 0 0 0 0 0 0 0 0 0 0
613 0 -387.062 2060.164 1771.652 -386.887 2061.292 1777.467 0.175 1.128 5.815 5 3.5 22.6 116.3 1.141 5.926 22.8 118.5 8.8187 351.1813 78.894 0 0 0 0 0 0 0 0 0 0 0
614 0 -406.425 2059.63 1770.35 -406.629 2059.807 1771.167 -0.204 0.177 0.817 5 -4.1 3.5 16.3 0.27 0.86 5.4 17.2 310.9464 49.0536 71.7072 0 0 0 0 0 0 0 0 0 0 0
615 0 -398.812 2058.246 1768.845 -399.031 2059.04 1768.952 -0.219 0.794 0.107 5 -4.4 15.9 2.1 0.824 0.831 16.5 16.6 344.5802 15.4198 7.4018 0 0 0 0 0 0 0 0 0 0 0
616 0 -419.765 2057.009 1773.626 -419.81 2057.09 1774.297 -0.045 0.081 0.671 5 -0.9 1.6 13.4 0.093 0.677 1.9 13.5 330.9454 29.0546 82.1376 0 0 0 0 0 0 0 0 0 0 0
617 0 -427.286 2056.991 1778.36 -427.303 2057.443 1779.919 -0.017 0.452 1.559 5 -0.3 9 31.2 0.452 1.623 9 32.5 357.8461 2.1539 73.8207 0 0 0 0 0 0 0 0 0 0 0
618 0 -431.163 2054.627 1778.041 -431.022 2055.477 1779.348 0.141 0.85 1.307 5 2.8 17 26.1 0.862 1.565 17.2 31.3 9.4186 350.5814 56.6059 0 0 0 0 0 0 0 0 0 0 0
619 0 -381.43 2054.106 1765.16 -381.126 2055.123 1770.634 0.304 1.017 5.474 5 6.1 20.3 109.5 1.061 5.576 21.2 111.5 16.6424 343.3576 79.026 0 0 0 0 0 0 0 0 0 0 0
620 0 -421.308 2052.516 1771.551 -421.451 2053.03 1772.269 -0.143 0.514 0.718 5 -2.9 10.3 14.4 0.534 0.895 10.7 17.9 344.4529 15.5471 53.3852 0 0 0 0 0 0 0 0 0 0 0
621 0 -412.345 2051.606 1766.667 -412.393 2051.895 1767.442 -0.048 0.289 0.775 5 -1 5.8 15.5 0.293 0.829 5.9 16.6 350.5698 9.4302 69.2928 0 0 0 0 0 0 0 0 0 0 0
622 0 -386.989 2052.642 1767.299 -387.195 2053.811 1769.167 -0.206 1.169 1.868 5 -4.1 23.4 37.4 1.187 2.213 23.7 44.3 350.006 9.994 57.5663 0 0 0 0 0 0 0 0 0 0 0
623 0 -409.024 2050.473 1766.05 -409.116 2050.897 1765.533 -0.092 0.424 -0.517 5 -1.8 8.5 -10.3 0.434 0.675 8.7 13.5 347.7577 12.2423 -49.9966 0 0 0 0 0 0 0 0 0 0 0
