"Punkt_ID" "X[m]" "Y[m]" "Z[m]" "PCode" "ErrCode" "P_X[m]" "dh[m]" "DOF" "D_XX[cm^2]" "D_YY[cm^2]" "D_ZZ[cm^2]" "D_XY[cm^2]" "D_XZ[cm^2]" "D_YZ[cm^2]"
20 -1086.083 2086.729 1951.291 0 0 0.278 0.585 1 242 265.3 3676.4 -9.3 -125.6 302.5
21 -1061.75 2087.061 1958.021 0 0 0.381 0.121 1 246.6 265.3 3657.8 -9.3 -144.3 297.8
22 -1057.292 2087.043 1959.509 0 0 0.333 0.097 1 246.6 265.3 3653.1 -9.3 -144.3 297.8
23 -1053.635 2086.955 1960.838 0 0 0.348 0.092 1 246.6 265.3 3648.5 -14 -148.9 297.8
24 -1059.914 2086.027 1958.582 0 0 0.349 0.057 1 246.6 265.3 3657.8 -9.3 -144.3 302.5
27 -1041.312 2083.933 1966.171 0 0 0.408 0.634 1 246.6 260.6 3634.5 -14 -158.2 302.5
28 -1056.846 2083.604 1959.485 0 0 0.312 -0.062 1 246.6 265.3 3653.1 -14 -148.9 302.5
29 -1075.842 2083.647 1953.748 0 0 0.297 0.601 1 246.6 265.3 3671.7 -9.3 -135 302.5
30 -1073.019 2084.092 1954.666 0 0 0.331 0.464 1 246.6 265.3 3667.1 -9.3 -135 302.5
31 -1060.808 2084.039 1958.199 0 0 0.371 -0.059 1 246.6 265.3 3657.8 -9.3 -144.3 302.5
32 -1054.093 2083.746 1960.489 0 0 0.302 -0.05 1 246.6 265.3 3653.1 -14 -148.9 302.5
33 -1086.886 2082.747 1950.431 0 0 0.307 0.725 1 242 265.3 3681 -9.3 -125.6 302.5
35 -1074.561 2081.816 1954.088 0 0 0.323 0.461 1 246.6 265.3 3671.7 -9.3 -135 302.5
36 -1082.924 2081.957 1952.344 0 0 0.31 0.715 1 242 265.3 3676.4 -9.3 -125.6 302.5
37 -1054.388 2081.362 1960.308 0 0 0.369 0.002 1 246.6 265.3 3653.1 -14 -148.9 302.5
38 -1045.493 2080.695 1963.794 0 0 0.299 0.252 1 246.6 265.3 3639.2 -14 -153.6 302.5
39 -1072.132 2080.842 1954.7 0 0 0.33 0.437 1 246.6 265.3 3667.1 -9.3 -135 307.1
40 -1038.734 2080.3 1966.803 0 0 0.382 0.44 1 246.6 265.3 3634.5 -14 -158.2 302.5
41 -1060.879 2079.793 1957.972 0 0 0.437 -0.044 1 246.6 265.3 3657.8 -9.3 -144.3 307.1
42 -1079.324 2078.751 1953.768 0 0 0.349 0.812 1 242 265.3 3671.7 -9.3 -130.3 307.1
43 -1039.995 2079.165 1966.036 0 0 0.4 0.417 1 246.6 265.3 3634.5 -14 -158.2 302.5
44 -1076.564 2078.955 1955.108 0 0 0.353 0.775 1 242 265.3 3667.1 -9.3 -130.3 307.1
45 -1069.713 2078.698 1955.183 0 0 0.371 0.276 1 246.6 265.3 3667.1 -9.3 -139.6 307.1
46 -1085.494 2077.581 1950.158 0 0 0.403 0.888 1 242 265.3 3681 -9.3 -125.6 307.1
48 -1068.1 2077.875 1955.462 0 0 0.422 0.092 1 246.6 265.3 3667.1 -9.3 -139.6 307.1
49 -1048.522 2075.18 1961.502 0 0 0.346 -0.007 1 246.6 265.3 3648.5 -14 -153.6 307.1
50 -1062.081 2074.787 1957.144 0 0 0.382 0.018 1 246.6 265.3 3662.4 -9.3 -144.3 307.1
51 -1083.634 2074.672 1950.283 0 0 0.457 0.666 1 242 265.3 3681 -9.3 -125.6 311.8
