"Punkt_ID" "X[m]" "Y[m]" "Z[m]" "PCode" "ErrCode" "P_X[m]" "dh[m]" "DOF" "D_XX[cm^2]" "D_YY[cm^2]" "D_ZZ[cm^2]" "D_XY[cm^2]" "D_XZ[cm^2]" "D_YZ[cm^2]"
84 -1057.652 2059.206 1958.991 0 0 0.008 0.717 1 137.9 678 5435.7 -114.9 356.3 -1746.8
86 -1037.574 2058.474 1964.56 0 0 0.001 1.153 1 137.9 678 5401.2 -103.4 321.8 -1735.3
87 -1051.674 2057.886 1958.236 0 0 0.034 0.761 1 137.9 678 5447.2 -114.9 344.8 -1746.8
88 -1080.239 2057.739 1950.095 0 0 0.014 1.073 1 149.4 678 5504.6 -126.4 402.2 -1758.3
89 -1067.786 2056.465 1954.476 0 0 0.02 0.844 1 149.4 678 5470.2 -126.4 379.2 -1746.8
90 -1050.864 2055.149 1958.466 0 0 0.005 0.819 1 137.9 678 5435.7 -114.9 344.8 -1735.3
93 -1073.918 2053.971 1951.579 0 0 0.005 0.841 1 149.4 678 5493.1 -126.4 390.7 -1746.8
94 -1069.456 2053.709 1953.432 0 0 0.022 0.859 1 149.4 678 5481.7 -126.4 379.2 -1746.8
95 -1039.919 2053.629 1962.438 0 0 0.013 1.08 1 137.9 678 5412.7 -103.4 321.8 -1735.3
96 -1054.61 2052.374 1959.3 0 0 0.06 1.069 1 137.9 678 5435.7 -114.9 356.3 -1735.3
97 -1058.561 2052.31 1957.738 0 0 0.053 1.101 1 149.4 678 5447.2 -114.9 356.3 -1735.3
98 -1046.031 2052.141 1959.072 0 0 0.015 0.856 1 137.9 678 5435.7 -103.4 333.3 -1735.3
100 -1078.601 2051.091 1949.84 0 0 0.032 1.162 1 149.4 678 5504.6 -126.4 402.2 -1746.8
101 -1083.689 2050.225 1947.151 0 0 0.022 1.329 1 149.4 678 5527.6 -126.4 413.7 -1746.8
102 -1064.61 2050.398 1954.728 0 0 0.046 0.808 1 149.4 678 5470.2 -114.9 367.7 -1735.3
103 -1075.063 2050.143 1950.734 0 0 0.005 0.845 1 149.4 678 5493.1 -126.4 390.7 -1746.8
104 -1057.585 2048.448 1957.201 0 0 0.008 0.945 1 137.9 666.5 5447.2 -114.9 356.3 -1735.3
105 -1078.597 2048.389 1949.013 0 0 0.045 1.135 1 149.4 678 5504.6 -126.4 402.2 -1746.8
106 -1052.873 2048.317 1959.021 0 0 0.023 0.907 1 137.9 666.5 5435.7 -114.9 344.8 -1723.8
107 -1067.036 2047.442 1953.202 0 0 0.025 0.728 1 149.4 666.5 5481.7 -114.9 379.2 -1735.3
108 -1043.288 2047.191 1959.172 0 0 0.024 0.983 1 137.9 666.5 5435.7 -103.4 333.3 -1723.8
110 -1070.166 2045.755 1951.782 0 0 0.002 0.793 1 149.4 666.5 5493.1 -126.4 379.2 -1735.3
111 -1052.288 2045.598 1958.735 0 0 0.013 0.93 1 137.9 666.5 5435.7 -114.9 344.8 -1723.8
112 -1058.794 2045.077 1956.118 0 0 0.037 1.02 1 149.4 666.5 5458.7 -114.9 356.3 -1723.8
113 -1063.457 2044.933 1954.241 0 0 0.017 0.892 1 149.4 666.5 5470.2 -114.9 367.7 -1723.8
114 -1046.711 2043.834 1959.997 0 0 0.085 0.958 1 137.9 666.5 5424.2 -103.4 333.3 -1712.3
115 -1085.472 2043.012 1945.112 0 0 0.028 1.253 1 149.4 666.5 5539.1 -126.4 413.7 -1735.3
116 -1041.512 2042.338 1959.339 0 0 0.031 0.856 1 137.9 666.5 5435.7 -103.4 333.3 -1712.3
118 -1066.568 2041.73 1952.372 0 0 0.017 0.853 1 149.4 666.5 5481.7 -114.9 379.2 -1723.8
119 -1051.267 2041.271 1958.367 0 0 0.039 1.02 1 137.9 655 5435.7 -114.9 344.8 -1712.3
120 -1059.021 2040.217 1954.925 0 0 0.022 0.968 1 149.4 666.5 5470.2 -114.9 356.3 -1723.8
121 -1062.49 2039.98 1953.579 0 0 0.009 0.933 1 149.4 666.5 5470.2 -114.9 367.7 -1723.8
122 -1055.003 2039.905 1956.465 0 0 0.037 0.995 1 137.9 655 5458.7 -114.9 356.3 -1712.3
124 -1072.102 2038.149 1949.03 0 0 0.005 0.847 1 149.4 666.5 5504.6 -126.4 390.7 -1723.8
125 -1083.887 2037.41 1945.032 0 0 0.029 1.127 1 149.4 666.5 5539.1 -126.4 413.7 -1735.3
127 -1079.325 2037.478 1945.772 0 0 0.041 1.057 1 149.4 666.5 5527.6 -126.4 402.2 -1723.8
153 -990.218 2087.008 1983.657 0 0 0.018 0.922 1 126.4 701 5263.3 -80.4 229.8 -1746.8
154 -1019.729 2086.494 1975.559 0 0 0.022 0.837 1 137.9 701 5320.8 -91.9 287.3 -1769.8
155 -1015.527 2086.459 1978.013 0 0 0.069 0.975 1 137.9 701 5297.8 -91.9 275.8 -1758.3
156 -1040.918 2086.405 1966.731 0 0 0.02 0.89 1 137.9 712.5 5378.2 -103.4 321.8 -1781.3
157 -994.772 2086.068 1982.626 0 0 0.041 0.938 1 126.4 701 5263.3 -80.4 241.3 -1746.8
158 -1002.59 2085.398 1982.13 0 0 0.031 1.028 1 126.4 701 5274.8 -80.4 252.8 -1746.8
159 -1028.997 2085.387 1971.902 0 0 0.038 0.862 1 137.9 701 5343.8 -103.4 298.8 -1769.8
160 -980.536 2085.349 1986.786 0 0 0.022 0.982 1 126.4 701 5240.3 -69 218.3 -1746.8
161 -1010.91 2084.757 1980.652 0 0 0.059 0.894 1 126.4 701 5286.3 -91.9 264.3 -1758.3
162 -1008.43 2083.953 1981.553 0 0 0.04 1.039 1 126.4 701 5274.8 -91.9 264.3 -1746.8
163 -990.29 2083.331 1983.589 0 0 0.014 0.905 1 126.4 701 5263.3 -80.4 229.8 -1746.8
164 -1035.478 2082.902 1969.152 0 0 0.106 1.048 1 137.9 701 5366.7 -103.4 310.3 -1769.8
165 -1013.826 2083.199 1979.205 0 0 0.065 1.001 1 137.9 701 5297.8 -91.9 275.8 -1758.3
166 -984.812 2083.123 1985.431 0 0 0.015 0.875 1 126.4 701 5251.8 -69 218.3 -1746.8
167 -1019.124 2082.604 1975.842 0 0 0.031 0.744 1 137.9 701 5320.8 -91.9 287.3 -1758.3
168 -977.58 2082.322 1987.951 0 0 0.043 1.043 1 126.4 689.5 5228.8 -69 206.9 -1735.3
169 -1025.183 2081.878 1973.212 0 0 0.02 0.688 1 137.9 701 5332.3 -91.9 298.8 -1758.3
170 -997.163 2081.385 1983.515 0 0 0.039 1.031 1 126.4 689.5 5263.3 -80.4 241.3 -1746.8
171 -1036.656 2080.148 1968.462 0 0 0.122 1.075 1 137.9 701 5366.7 -103.4 321.8 -1769.8
172 -1028.798 2079.837 1971.779 0 0 0.053 0.815 1 137.9 701 5343.8 -103.4 298.8 -1758.3
173 -1001.665 2079.176 1982.632 0 0 0.026 1.006 1 126.4 689.5 5263.3 -80.4 252.8 -1735.3
174 -988.582 2078.756 1984.053 0 0 0 1.052 1 126.4 689.5 5263.3 -80.4 229.8 -1735.3
175 -1017.257 2078 1976.642 0 0 0.022 0.97 1 137.9 689.5 5309.3 -91.9 275.8 -1746.8
176 -998.667 2077.562 1983.075 0 0 0.034 1.079 1 126.4 689.5 5263.3 -80.4 241.3 -1735.3
177 -993.727 2077.7 1983.46 0 0 0.016 1.03 1 126.4 689.5 5263.3 -80.4 241.3 -1735.3
178 -1040.834 2077.513 1965.851 0 0 0.071 0.924 1 137.9 701 5389.7 -103.4 321.8 -1769.8
179 -979.933 2077.106 1987.286 0 0 0.017 1.149 1 126.4 689.5 5240.3 -69 206.9 -1723.8
180 -1033.947 2076.704 1969.285 0 0 0.176 0.988 1 137.9 701 5366.7 -103.4 310.3 -1758.3
181 -984.867 2076.879 1985.324 0 0 0.014 1.07 1 126.4 689.5 5251.8 -69 218.3 -1735.3
182 -1002.824 2076.326 1983.347 0 0 0.066 1.1 1 126.4 689.5 5263.3 -80.4 252.8 -1735.3
183 -1008.393 2075.914 1980.953 0 0 0.089 1.132 1 126.4 689.5 5274.8 -91.9 264.3 -1735.3
184 -1014.862 2075.022 1977.825 0 0 0.062 1.057 1 137.9 689.5 5297.8 -91.9 275.8 -1746.8
185 -1034.256 2073.181 1968.749 0 0 0.098 0.98 1 137.9 689.5 5366.7 -103.4 310.3 -1758.3
186 -1028.99 2073.381 1971.498 0 0 0.012 0.956 1 137.9 689.5 5343.8 -103.4 298.8 -1746.8
187 -1008.704 2073.59 1980.39 0 0 0.04 1.212 1 126.4 689.5 5286.3 -91.9 264.3 -1735.3
188 -992.934 2072.816 1983.578 0 0 0.023 1.078 1 126.4 689.5 5263.3 -80.4 229.8 -1723.8
189 -1024.972 2072.665 1973.032 0 0 0.042 0.855 1 137.9 689.5 5332.3 -91.9 298.8 -1746.8
190 -1012.635 2071.526 1978.505 0 0 0.045 1.173 1 137.9 689.5 5297.8 -91.9 275.8 -1735.3
191 -1040.088 2071.941 1965.406 0 0 0.073 1.056 1 137.9 689.5 5389.7 -103.4 321.8 -1758.3
192 -1001.782 2071.335 1983.395 0 0 0.06 1.083 1 126.4 678 5263.3 -80.4 252.8 -1723.8
193 -982.244 2071.548 1985.888 0 0 0.061 1.117 1 126.4 678 5240.3 -69 218.3 -1723.8
194 -1021.487 2070.852 1974.339 0 0 0.016 0.849 1 137.9 689.5 5332.3 -91.9 287.3 -1735.3
195 -988.633 2070.503 1984.053 0 0 0.011 1.167 1 126.4 678 5263.3 -80.4 229.8 -1723.8
196 -1032.407 2070.274 1969.407 0 0 0.074 1.024 1 137.9 689.5 5366.7 -103.4 310.3 -1746.8
197 -1025.479 2069.778 1972.425 0 0 0.009 0.738 1 137.9 689.5 5343.8 -91.9 298.8 -1746.8
198 -1028.628 2069.049 1971.158 0 0 0.018 0.904 1 137.9 689.5 5343.8 -103.4 298.8 -1746.8
199 -1004.346 2068.5 1980.924 0 0 0.07 1.095 1 126.4 678 5274.8 -80.4 252.8 -1723.8
200 -1002.02 2068.728 1982.378 0 0 0.068 1.101 1 126.4 678 5274.8 -80.4 252.8 -1723.8
201 -1009.424 2068.198 1979.172 0 0 0.025 0.979 1 126.4 678 5297.8 -91.9 264.3 -1723.8
202 -982.849 2067.692 1985.429 0 0 0.048 0.939 1 126.4 678 5251.8 -69 218.3 -1712.3
203 -1038.647 2067.463 1965.295 0 0 0.034 0.872 1 137.9 689.5 5389.7 -103.4 321.8 -1746.8
204 -1021.533 2067.31 1974.019 0 0 0.013 0.786 1 137.9 678 5332.3 -91.9 287.3 -1735.3
205 -998.275 2066.051 1984.322 0 0 0.055 1.363 1 126.4 678 5251.8 -80.4 241.3 -1712.3
206 -1005.783 2064.586 1979.827 0 0 0.068 1.186 1 126.4 678 5286.3 -80.4 264.3 -1723.8
207 -1039.004 2064.527 1964.89 0 0 0.011 1.086 1 137.9 689.5 5389.7 -103.4 321.8 -1746.8
208 -1016.055 2063.915 1976.157 0 0 0.01 0.783 1 137.9 678 5309.3 -91.9 275.8 -1723.8
209 -996.105 2063.477 1984.583 0 0 0.019 1.398 1 126.4 678 5251.8 -80.4 241.3 -1712.3
210 -1021.784 2063.603 1973.422 0 0 0.027 0.833 1 137.9 678 5332.3 -91.9 287.3 -1723.8
211 -1036.12 2063.139 1966.084 0 0 0.011 1.117 1 137.9 678 5389.7 -103.4 321.8 -1735.3
212 -990.434 2061.934 1985.807 0 0 0.021 1.253 1 126.4 666.5 5240.3 -80.4 229.8 -1700.8
213 -1009.64 2062 1977.985 0 0 0.081 1.077 1 126.4 678 5297.8 -91.9 264.3 -1723.8
214 -983.799 2061.216 1986.091 0 0 0.069 1.029 1 126.4 666.5 5240.3 -69 218.3 -1700.8
215 -977.085 2061.148 1987.693 0 0 0.061 1.018 1 126.4 666.5 5228.8 -69 206.9 -1700.8
216 -1002.166 2060.567 1979.901 0 0 0.051 1.261 1 126.4 678 5286.3 -80.4 252.8 -1712.3
217 -1040.707 2060.586 1963.44 0 0 0.04 1.176 1 137.9 678 5401.2 -103.4 321.8 -1735.3
218 -1014.969 2060.336 1975.646 0 0 0.047 0.901 1 137.9 678 5320.8 -91.9 275.8 -1723.8
219 -995.556 2059.998 1983.536 0 0 0.004 1.415 1 126.4 666.5 5263.3 -80.4 241.3 -1700.8
220 -1028.066 2059.213 1969.266 0 0 0.036 1.035 1 137.9 678 5366.7 -91.9 298.8 -1723.8
221 -1006.72 2059.307 1978.074 0 0 0.071 1.226 1 126.4 678 5297.8 -80.4 264.3 -1712.3
222 -986.846 2058.74 1985.823 0 0 0.056 1.033 1 126.4 666.5 5240.3 -69 218.3 -1700.8
223 -1037.574 2058.474 1964.56 0 0 0.001 1.153 1 137.9 678 5401.2 -103.4 321.8 -1735.3
224 -1011.964 2057.841 1976.026 0 0 0.067 1.079 1 137.9 666.5 5309.3 -91.9 275.8 -1712.3
225 -1032.955 2057.184 1966.208 0 0 0.021 1.131 1 137.9 678 5389.7 -103.4 310.3 -1735.3
226 -1023.605 2057.176 1970.602 0 0 0.011 1.074 1 137.9 678 5355.2 -91.9 287.3 -1723.8
227 -999.348 2056.52 1980.335 0 0 0.049 1.253 1 126.4 666.5 5286.3 -80.4 252.8 -1700.8
228 -1016.417 2055.42 1972.941 0 0 0.047 0.964 1 137.9 666.5 5332.3 -91.9 275.8 -1712.3
229 -979.82 2054.882 1986.472 0 0 0.046 0.929 1 126.4 666.5 5240.3 -69 206.9 -1689.3
230 -1005.614 2054.207 1976.476 0 0 0.028 1.047 1 126.4 666.5 5309.3 -80.4 264.3 -1712.3
231 -1020.963 2053.622 1970.392 0 0 0.051 1.092 1 137.9 666.5 5355.2 -91.9 287.3 -1712.3
232 -990.782 2053.761 1982.703 0 0 0.057 0.988 1 126.4 666.5 5263.3 -80.4 229.8 -1700.8
233 -983.395 2053.763 1985.654 0 0 0.06 0.984 1 126.4 666.5 5251.8 -69 218.3 -1689.3
234 -1039.919 2053.629 1962.438 0 0 0.013 1.08 1 137.9 678 5412.7 -103.4 321.8 -1735.3
235 -987.196 2053.315 1983.9 0 0 0.086 0.959 1 126.4 666.5 5263.3 -69 229.8 -1689.3
236 -1009.679 2052.493 1974.166 0 0 0.019 0.841 1 137.9 666.5 5332.3 -80.4 264.3 -1712.3
237 -1024.392 2051.648 1968.484 0 0 0.021 1.072 1 137.9 666.5 5366.7 -91.9 298.8 -1712.3
238 -1002.176 2052.308 1977.048 0 0 0.026 0.895 1 126.4 666.5 5309.3 -80.4 252.8 -1700.8
239 -1035.467 2051.755 1963.741 0 0 0.017 0.977 1 137.9 666.5 5401.2 -103.4 310.3 -1723.8
240 -1013.149 2051.932 1972.662 0 0 0.032 0.942 1 137.9 666.5 5343.8 -91.9 275.8 -1712.3
241 -983.561 2051.449 1984.807 0 0 0.088 0.997 1 126.4 655 5251.8 -69 218.3 -1689.3
242 -993.355 2048.736 1980.64 0 0 0.017 0.87 1 126.4 655 5286.3 -80.4 241.3 -1689.3
243 -1016.601 2048.441 1970.416 0 0 0.008 0.969 1 137.9 666.5 5355.2 -91.9 275.8 -1712.3
244 -986.885 2047.796 1982.48 0 0 0.023 1.007 1 126.4 655 5263.3 -69 229.8 -1689.3
245 -997.858 2046.023 1977.123 0 0 0.019 0.731 1 126.4 655 5309.3 -80.4 241.3 -1689.3
246 -1037.003 2045.879 1961.612 0 0 0.049 0.95 1 137.9 666.5 5412.7 -103.4 321.8 -1712.3
